quadkey_z12,year,quarter,date,avg_download_mbps,avg_upload_mbps,avg_lat_ms,tests
033131200310,2019,1,2019-Q1,0.261,2.662,137.0,1
033131310033,2019,1,2019-Q1,4.215,1.872,99.0,1
033131310213,2019,1,2019-Q1,10.001666666666667,1.7753333333333332,90.66666666666667,3
033131311103,2019,1,2019-Q1,0.039,0.186,109.5,3
033131311111,2019,1,2019-Q1,6.282,2.156,59.0,2
033131311112,2019,1,2019-Q1,0.856,0.929,103.0,1
033131313321,2019,1,2019-Q1,8.047,1.908,108.66666666666667,3
033131313330,2019,1,2019-Q1,1.706,0.26,67.0,1
033131331032,2019,1,2019-Q1,0.699,1.875,127.0,1
033131331122,2019,1,2019-Q1,0.919,11.053,90.0,1
033131331211,2019,1,2019-Q1,7.2645,2.246,106.5,33
033131331302,2019,1,2019-Q1,4.481457142857143,6.733657142857143,124.65714285714286,188
033131331303,2019,1,2019-Q1,8.168,12.157,166.0,29
033131331320,2019,1,2019-Q1,2.147,2.678,94.0,3
033131331333,2019,1,2019-Q1,5.6625,3.4365,119.0,2
033131333101,2019,1,2019-Q1,0.013,2.799,108.0,1
033131333120,2019,1,2019-Q1,4.885,1.803,97.0,2
033132110023,2019,1,2019-Q1,9.703,0.77,103.0,1
033133111110,2019,1,2019-Q1,6.731,3.514,53.0,1
033133111111,2019,1,2019-Q1,5.402,3.551,79.0,1
033133111131,2019,1,2019-Q1,7.184,1.425,78.0,2
122000322201,2019,1,2019-Q1,13.05109090909091,9.156272727272729,27.09090909090909,138
122000322202,2019,1,2019-Q1,9.065019607843139,6.376274509803921,39.1764705882353,356
122000322203,2019,1,2019-Q1,7.415408045977011,6.510074712643678,46.752873563218394,2598
122000322210,2019,1,2019-Q1,16.562,9.573636363636364,26.90909090909091,89
122000322212,2019,1,2019-Q1,7.517407766990291,6.8547427184466025,43.45145631067961,6132
122000322213,2019,1,2019-Q1,6.165666666666667,7.9495,49.958333333333336,586
122000322220,2019,1,2019-Q1,7.743620253164557,6.181101265822784,52.59493670886076,480
122000322221,2019,1,2019-Q1,5.940007751937984,5.36701550387597,41.47286821705426,1634
122000322222,2019,1,2019-Q1,15.61375,6.8130625,82.4375,113
122000322223,2019,1,2019-Q1,7.391931034482759,6.8785,43.98275862068966,477
122000322230,2019,1,2019-Q1,6.913134715025907,6.402010362694301,47.2279792746114,4241
122000322231,2019,1,2019-Q1,8.127778894472362,7.1677638190954776,41.688442211055275,4110
122000322232,2019,1,2019-Q1,6.834615384615384,6.025705128205128,57.46153846153846,415
