quadkey_z12,download_2019-Q1,download_2019-Q2,download_2019-Q3,download_2019-Q4,download_2020-Q1,download_2020-Q2,download_2020-Q3,download_2020-Q4,download_2021-Q1,download_2021-Q2,download_2021-Q3,download_2021-Q4,download_2022-Q1,download_2022-Q2,download_2022-Q3,download_2022-Q4,download_2023-Q1,download_2023-Q2,download_2023-Q3,download_2023-Q4,download_2024-Q1,download_2024-Q2,download_2024-Q3,download_2024-Q4,download_2025-Q1,download_2025-Q2,upload_2019-Q1,upload_2019-Q2,upload_2019-Q3,upload_2019-Q4,upload_2020-Q1,upload_2020-Q2,upload_2020-Q3,upload_2020-Q4,upload_2021-Q1,upload_2021-Q2,upload_2021-Q3,upload_2021-Q4,upload_2022-Q1,upload_2022-Q2,upload_2022-Q3,upload_2022-Q4,upload_2023-Q1,upload_2023-Q2,upload_2023-Q3,upload_2023-Q4,upload_2024-Q1,upload_2024-Q2,upload_2024-Q3,upload_2024-Q4,upload_2025-Q1,upload_2025-Q2,latency_2019-Q1,latency_2019-Q2,latency_2019-Q3,latency_2019-Q4,latency_2020-Q1,latency_2020-Q2,latency_2020-Q3,latency_2020-Q4,latency_2021-Q1,latency_2021-Q2,latency_2021-Q3,latency_2021-Q4,latency_2022-Q1,latency_2022-Q2,latency_2022-Q3,latency_2022-Q4,latency_2023-Q1,latency_2023-Q2,latency_2023-Q3,latency_2023-Q4,latency_2024-Q1,latency_2024-Q2,latency_2024-Q3,latency_2024-Q4,latency_2025-Q1,latency_2025-Q2,wkt
033113112322,10.689666666666666,6.896285714285715,7.404375,7.524125,7.1853,6.673,14.183833333333334,16.942636363636364,15.64607142857143,21.465666666666667,12.45925,12.612714285714286,19.572,25.471333333333334,18.154700000000002,29.798357142857142,46.2226,35.74358333333333,37.41883333333334,44.24,35.20175,48.058571428571426,41.42975,40.609545454545454,59.94081818181819,40.94890909090909,5.153666666666667,6.066285714285715,8.447,8.959625,7.5453,11.2309,12.438083333333333,11.18990909090909,12.825571428571429,14.514533333333333,13.805833333333334,7.854642857142857,13.346846153846155,16.656,13.8137,15.016428571428571,18.1064,17.109916666666667,20.3965,18.66969230769231,16.85775,23.236714285714285,16.792625,13.195181818181817,16.403363636363636,15.370181818181818,63.22222222222222,65.71428571428571,60.625,46.625,79.6,69.9,34.833333333333336,34.36363636363637,30.0,34.13333333333333,42.75,39.42857142857143,35.30769230769231,29.916666666666668,52.1,24.928571428571427,25.7,24.666666666666668,25.333333333333332,24.76923076923077,26.666666666666668,29.0,28.375,34.09090909090909,35.18181818181818,22.09090909090909,"POLYGON ((-0.966796875 35.4606699514953, -0.966796875 35.532226227703376, -1.0546875 35.532226227703376, -1.0546875 35.4606699514953, -0.966796875 35.4606699514953))"
033113112330,2.5,2.06,1.029,8.036666666666667,6.9438,12.2745,11.91125,3.686,19.222,23.018222222222224,25.2314,21.511857142857142,11.4405,74.623,21.459375,78.6472,129.042,,37.02025,81.204,81.31366666666668,87.3485,50.733666666666664,,78.7035,34.42585714285715,0.5586,1.312,0.565,1.7023333333333333,1.7086,5.851,13.94275,0.235,9.249625,8.28588888888889,6.5616,7.1814285714285715,7.0495,18.9988,6.058625,20.331,33.7385,,8.70625,24.20425,11.137,19.9305,12.950166666666666,,31.072,12.558857142857143,172.6,64.0,86.5,116.0,133.6,39.25,29.75,63.0,26.75,22.88888888888889,26.2,26.285714285714285,33.0,30.6,52.5,21.2,22.5,,16.75,26.75,19.666666666666668,24.0,21.166666666666668,,20.0,26.857142857142858,"POLYGON ((-0.791015625 35.532226227703376, -0.791015625 35.6037187406973, -0.87890625 35.6037187406973, -0.87890625 35.532226227703376, -0.791015625 35.532226227703376))"
033113112331,2.496,0.332,12.92,,7.036,,12.2545,7.794,,,2.875,5.3625,,16.726,4.33,14.6415,27.119666666666667,55.596,,18.162,7.946,49.813,,5.298333333333333,5.268,59.528,0.009,0.237,4.841,,1.184,,2.449,9.814,,,0.047,2.6205,,10.470333333333334,4.639,3.497,7.947333333333333,8.213,,7.253,0.725,0.534,,3.9316666666666666,5.087,1.887,145.0,63.0,76.5,,55.0,,23.0,19.0,,,166.0,28.5,,72.0,17.0,23.5,22.666666666666668,16.0,,36.333333333333336,38.0,23.0,,30.0,15.0,19.0,"POLYGON ((-0.703125 35.532226227703376, -0.703125 35.6037187406973, -0.791015625 35.6037187406973, -0.791015625 35.532226227703376, -0.703125 35.532226227703376))"
033113112333,,,,,,,,,,,,,,,,,,1.338,,,,,,,,,,,,,,,,,,,,,,,,,,1.345,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,"POLYGON ((-0.703125 35.4606699514953, -0.703125 35.532226227703376, -0.791015625 35.532226227703376, -0.791015625 35.4606699514953, -0.703125 35.4606699514953))"
033113113200,5.382586956521739,5.903534883720931,5.705642105263157,5.964734693877551,5.761677777777778,7.477443181818182,9.466591836734693,13.73710752688172,15.92145918367347,15.722659574468086,16.522044444444443,19.318864583333333,20.90851020408163,27.076970000000003,26.099689320388347,28.180244897959184,31.067922222222222,26.84627659574468,28.539414634146343,28.79534831460674,28.869266666666668,29.34945744680851,28.360010752688172,30.800755555555554,33.03075294117647,35.68726666666667,5.656010869565217,7.235197674418605,7.254621052631579,8.11561224489796,7.585100000000001,8.69753409090909,9.167183673469388,9.944010752688174,11.139020408163265,10.96936170212766,12.307888888888888,14.861416666666667,16.791071428571428,15.97987,14.680844660194174,15.878010204081633,16.645,14.645574468085107,16.133451219512196,16.209516853932584,15.0758,16.16155319148936,13.458709677419353,14.137788888888888,13.91175294117647,16.247588888888888,98.09782608695652,63.77906976744186,92.13684210526316,65.20408163265306,82.57777777777778,58.98863636363637,34.357142857142854,34.376344086021504,27.948979591836736,25.638297872340427,28.1,25.447916666666668,21.540816326530614,21.43,23.825242718446603,28.857142857142858,35.5,26.69148936170213,22.829268292682926,26.95505617977528,24.08888888888889,24.46808510638298,28.978494623655912,23.155555555555555,22.51764705882353,23.6,"POLYGON ((-0.615234375 35.67514743608468, -0.615234375 35.746512259918504, -0.703125 35.746512259918504, -0.703125 35.67514743608468, -0.615234375 35.67514743608468))"
033113113201,5.627553333333333,4.969694444444444,5.516255172413793,5.880939597315436,5.2065294117647065,7.869270833333333,9.251299319727892,11.828476744186046,14.467239263803682,15.748590361445784,17.825987421383648,18.13661635220126,22.965581395348835,32.83941954022988,29.577439759036142,31.811497076023393,30.871877192982456,30.139,33.66015894039735,34.788278106508876,34.437603773584904,37.29269565217391,33.80821212121212,30.65553086419753,35.38626315789474,34.90839263803681,6.1084,6.4802430555555555,7.169531034482758,8.019060402684564,6.290843137254902,8.34951388888889,10.092605442176872,9.772267441860466,11.073576687116566,9.71806626506024,13.64783647798742,13.687761006289309,16.330860465116277,17.543833333333332,16.08117469879518,16.749187134502925,15.895450292397662,15.515518072289156,16.36498013245033,17.002508875739643,16.77830817610063,16.47696894409938,15.316327272727273,14.225111111111111,15.80375,15.910306748466256,95.02666666666667,61.729166666666664,69.15862068965517,63.939597315436245,80.52941176470588,70.68055555555556,35.48299319727891,32.21511627906977,31.098159509202453,25.97590361445783,27.22641509433962,28.22012578616352,23.023255813953487,21.60919540229885,22.698795180722893,29.17543859649123,29.871345029239766,24.259036144578314,24.71523178807947,23.757396449704142,25.80503144654088,24.236024844720497,25.55757575757576,26.77777777777778,23.80263157894737,22.190184049079754,"POLYGON ((-0.52734375 35.67514743608468, -0.52734375 35.746512259918504, -0.615234375 35.746512259918504, -0.615234375 35.67514743608468, -0.52734375 35.67514743608468))"
033113113202,4.754053191489362,6.107621951219512,5.5556794871794875,6.012290697674419,4.621111111111111,7.984736263736264,11.39723595505618,12.31557142857143,12.658972727272728,14.611831578947369,14.41193,18.227418181818184,20.239559633027522,26.539926229508197,25.809694214876032,26.758743589743588,32.47355855855856,26.79309649122807,29.820234234234235,30.91013043478261,31.678840707964603,38.56664814814815,33.578640350877194,29.080607476635514,32.27549541284404,35.72241025641026,5.757287234042553,7.498560975609757,6.79873076923077,7.851267441860465,7.431811111111111,8.273802197802198,11.009056179775282,9.88195918367347,9.543763636363636,9.205515789473685,9.94095,12.297918181818183,15.015339449541285,15.284319672131147,14.984537190082644,14.780615384615384,15.122864864864866,13.534780701754386,14.769477477477478,14.855747826086956,16.729283185840707,17.61336111111111,14.53471052631579,12.87185046728972,14.110155963302752,15.1491452991453,95.81914893617021,61.47560975609756,70.66666666666667,71.95348837209302,86.0111111111111,66.08791208791209,30.078651685393258,31.142857142857142,27.763636363636362,33.38947368421053,30.64,29.327272727272728,26.321100917431192,26.87704918032787,27.09090909090909,28.666666666666668,26.774774774774773,25.74561403508772,25.98198198198198,28.295652173913044,24.4070796460177,21.333333333333332,24.526315789473685,24.700934579439252,28.38532110091743,27.05982905982906,"POLYGON ((-0.615234375 35.6037187406973, -0.615234375 35.67514743608468, -0.703125 35.67514743608468, -0.703125 35.6037187406973, -0.615234375 35.6037187406973))"
033113113203,5.465051724137931,6.322811320754717,8.953865384615385,7.08825,7.466777777777778,11.538017857142856,17.348969696969696,15.423714285714286,19.465154761904763,21.739564102564103,19.444560000000003,22.45515384615385,28.549756756756757,30.837082352941174,29.508213333333334,29.16232530120482,30.14073611111111,32.95347761194029,35.961446153846154,39.93153521126761,42.32876388888889,37.818701492537315,38.38845454545454,36.37,34.95958064516129,41.69428985507246,6.4703793103448275,7.109924528301887,8.054923076923076,9.2806875,8.057968253968253,8.541607142857144,11.326954545454546,10.470957142857143,12.504380952380952,12.874628205128205,11.103226666666668,12.980799999999999,18.38918918918919,17.716,16.738213333333334,14.93287951807229,14.576625,14.27689552238806,15.333092307692308,17.391802816901407,18.087152777777778,15.870880597014926,13.084155844155845,14.476558823529412,15.528870967741936,16.045797101449274,71.03448275862068,55.20754716981132,73.28846153846153,63.9375,79.85714285714286,55.875,30.681818181818183,31.214285714285715,24.357142857142858,24.756410256410255,25.546666666666667,27.2,19.256756756756758,22.152941176470588,35.373333333333335,33.93975903614458,27.833333333333332,24.19402985074627,24.153846153846153,18.535211267605632,20.26388888888889,25.37313432835821,22.363636363636363,30.16176470588235,28.548387096774192,21.3768115942029,"POLYGON ((-0.52734375 35.6037187406973, -0.52734375 35.67514743608468, -0.615234375 35.67514743608468, -0.615234375 35.6037187406973, -0.52734375 35.6037187406973))"
033113113210,8.389894736842106,8.521939393939395,7.873600000000001,5.029575757575758,7.373,11.3226,9.742720930232558,14.142585365853659,15.370089285714286,14.22642857142857,14.641605263157896,20.37926,22.779044444444445,19.907395833333332,21.71544230769231,30.318921568627452,35.160411764705884,44.700208333333336,34.635,30.658414634146343,28.494760869565216,34.7668,41.2765,34.98890196078432,28.900475,25.359163265306123,5.899210526315789,8.057363636363636,7.748033333333334,6.266,6.8881875,7.603485714285714,9.664186046511627,6.69719512195122,8.68242857142857,8.858714285714287,11.159473684210527,12.239799999999999,13.687288888888888,12.918125,13.093865384615384,15.085843137254901,13.38356862745098,16.756208333333333,16.26053191489362,16.484439024390245,15.54058695652174,13.71176,15.42413157894737,13.77878431372549,13.345325,12.207020408163265,97.28947368421052,59.72727272727273,93.83333333333333,86.72727272727273,80.5625,49.6,47.51162790697674,34.53658536585366,30.535714285714285,22.11904761904762,31.92105263157895,29.58,32.577777777777776,34.6875,23.846153846153847,29.294117647058822,30.215686274509803,26.729166666666668,22.25531914893617,27.634146341463413,28.065217391304348,31.16,31.657894736842106,24.823529411764707,26.975,21.122448979591837,"POLYGON ((-0.439453125 35.67514743608468, -0.439453125 35.746512259918504, -0.52734375 35.746512259918504, -0.52734375 35.67514743608468, -0.439453125 35.67514743608468))"
033113113211,3.58925,19.2015,11.979333333333335,2.915,3.508,12.357666666666667,11.583833333333335,30.218625,43.1114,26.2352,40.7965,29.041,41.60781818181818,51.829,39.017857142857146,43.96092307692308,29.94077777777778,32.62341666666667,46.82425,55.06736363636364,53.95575,38.306,51.622416666666666,40.14875,45.90266666666666,44.95573333333333,1.7995,12.1285,3.726,8.7358,5.239666666666667,9.362833333333334,5.0085,18.249625,19.0031,12.6172,17.283833333333334,13.791272727272728,21.08927272727273,14.14488888888889,12.873142857142858,15.770615384615384,10.256888888888888,13.955833333333334,12.8975,23.126454545454543,18.22825,21.916428571428572,14.284833333333333,17.645833333333332,21.62066666666667,15.9644,106.25,38.5,57.5,65.6,210.0,85.33333333333333,34.416666666666664,27.5,26.6,19.2,36.5,20.727272727272727,19.727272727272727,20.444444444444443,22.571428571428573,57.15384615384615,19.444444444444443,18.5,26.75,17.90909090909091,18.75,24.428571428571427,25.75,21.75,27.0,18.933333333333334,"POLYGON ((-0.3515625 35.67514743608468, -0.3515625 35.746512259918504, -0.439453125 35.746512259918504, -0.439453125 35.67514743608468, -0.3515625 35.67514743608468))"
